Performer,songs,numSong,len_weeks,year_min,year_max,len_year_different,year_space,top1,top5,top10,is_featuring
Hank Levine And Orchestra,['Image - Part 1'],1,1,1961,1961,1,1,0,0,0,False
Anita & Th' So-And-So's,['Joey Baby'],1,3,1962,1962,1,1,0,0,0,False
The Falcons & Band (Ohio Untouchables),['I Found A Love'],1,9,1962,1962,1,1,0,0,0,False
Johnnie Morisette,"[""Meet Me At The Twistin' Place""]",1,9,1962,1962,1,1,0,0,0,False
The Valentinos,"[""Lookin' For A Love"" ""It's All Over Now""]",2,10,1962,1964,2,3,0,0,0,False
Bunker Hill,"['Hide & Go Seek, Part I']",1,13,1962,1962,1,1,0,0,0,False
Bobby Callender,['Little Star'],1,2,1963,1963,1,1,0,0,0,False
Ginny Arnell,['Dumb Head'],1,12,1963,1964,2,2,0,0,0,False
The Caravelles,"['Have You Ever Been Lonely (Have You Ever Been Blue)'
 ""You Don't Have To Be A Baby To Cry""]",2,17,1963,1964,2,2,0,3,4,False
Justine Washington,"[""I Can't Wait Until I See My Baby""]",1,3,1964,1964,1,1,0,0,0,False
The Soul Sisters,['Good Time Tonight'],1,1,1964,1964,1,1,0,0,0,False
The Ska Kings,['Jamaica Ska'],1,1,1964,1964,1,1,0,0,0,False
The Enchanters,['I Wanna Thank You' 'I Lied To My Heart'],2,5,1961,1964,2,4,0,0,0,False
Billy Edd Wheeler,['Ode To The Little Brown Shack Out Back'],1,7,1965,1965,1,1,0,0,0,False
Sam & Bill,['For Your Love' 'Fly Me To The Moon'],2,4,1965,1966,2,2,0,0,0,False
David & Jonathan,['Michelle'],1,9,1966,1966,1,1,0,0,0,False
The Holidays,"[""I'll Love You Forever""]",1,9,1966,1966,1,1,0,0,0,False
Drafi,['Marble Breaks And Iron Bends'],1,3,1966,1966,1,1,0,0,0,False
Gary And The Hornets,['Hi Hi Hazel'],1,2,1966,1966,1,1,0,0,0,False
Don And The Goodtimes,['I Could Be So Good To You' 'Happy And Me'],2,8,1967,1967,1,1,0,0,0,False
Moby Grape,['Omaha'],1,3,1967,1967,1,1,0,0,0,False
The Baltimore And Ohio Marching Band,['Lapland'],1,3,1967,1967,1,1,0,0,0,False
The Human Beinz,['Nobody But Me' 'Turn On Your Love Light'],2,20,1967,1968,2,2,0,0,4,False
Bill Wyman,['In Another Land'],1,5,1967,1968,2,2,0,0,0,False
Long John Baldry,['Let The Heartaches Begin'],1,2,1968,1968,1,1,0,0,0,False
The Will-O-Bees,"[""It's Not Easy""]",1,3,1968,1968,1,1,0,0,0,False
The Amboy Dukes,['Journey To The Center Of The Mind'],1,12,1968,1968,1,1,0,0,0,False
Debbie Taylor,"['Never Gonna Let Him Know' ""I Don't Wanna Leave You""]",2,7,1969,1976,2,8,0,0,0,False
Romeo & Juliet Soundtrack,['Farewell Love Scene'],1,4,1969,1969,1,1,0,0,0,False
Wilbert Harrison,"[""Let's Work Together (Part 1)"" 'My Heart Is Yours' 'Kansas City']",3,31,1959,1971,4,13,2,6,8,False
Owen B.,['Mississippi Mama'],1,2,1970,1970,1,1,0,0,0,False
Ten Wheel Drive With Genya Ravan,['Morning Much Better'],1,7,1970,1970,1,1,0,0,0,False
Jim Ed Brown,['Morning'],1,11,1970,1971,2,2,0,0,0,False
Sammi Smith,"['Help Me Make It Through The Night' ""I've Got To Have You""]",2,23,1971,1972,2,2,0,0,3,False
John Kongos,"[""He's Gonna Step On You Again""]",1,7,1971,1971,1,1,0,0,0,False
Don Nix,['Olena'],1,3,1971,1971,1,1,0,0,0,False
Commander Cody & His Lost Planet Airmen,['Hot Rod Lincoln'],1,14,1972,1972,1,1,0,0,2,False
Little Jimmy Osmond with The Mike Curb Congregation,['Long Haired Lover From Liverpool'],1,10,1972,1972,1,1,0,0,0,False
Sailcat,['Motorcycle Mama'],1,15,1972,1972,1,1,0,0,0,False
Ian Lloyd & Stories,"['If It Feels Good, Do It']",1,5,1974,1974,1,1,0,0,0,False
Labelle,['Lady Marmalade' 'What Can I Do For You?'],2,24,1975,1975,1,1,1,4,7,False
Randy Edelman,['Everybody Wants To Find A Bluebird'],1,4,1975,1975,1,1,0,0,0,False
Smokey,['If You Think You Know How To Love Me'],1,3,1975,1975,1,1,0,0,0,False
Christopher Paul And Shawn,['For Your Love'],1,5,1975,1975,1,1,0,0,0,False
Pete Wingfield,['Eighteen With A Bullet'],1,19,1975,1975,1,1,0,0,0,False
The Road Apples,"[""Let's Live Together""]",1,14,1975,1976,2,2,0,0,0,False
Firefly,['Hey There Little Firefly Part I'],1,9,1975,1975,1,1,0,0,0,False
People's Choice,['Nursery Rhymes (Part I)'],1,3,1976,1976,1,1,0,0,0,False
Yvonne Fair,['It Should Have Been Me'],1,5,1976,1976,1,1,0,0,0,False
Impact,['Happy Man (Pt. I)'],1,2,1976,1976,1,1,0,0,0,False
Charlene,"[""I've Never Been To Me"" ""It Ain't Easy Comin' Down"" 'Freddie']",3,30,1977,1982,2,6,0,3,6,False
Tom Powers,"[""It Ain't Love""]",1,5,1977,1977,1,1,0,0,0,False
Belle Epoque,['Miss Broadway'],1,4,1978,1978,1,1,0,0,0,False
Pendulum,['Gypsy Spirit'],1,7,1980,1981,2,2,0,0,0,False
The Crusaders With Joe Cocker,"[""I'm So Glad I'm Standing Here Today""]",1,3,1981,1981,1,1,0,0,0,False
The Frank Barber Orch.,['Hooked On Big Bands'],1,12,1982,1982,1,1,0,0,0,False
Nancy Martinez,['For Tonight'],1,21,1986,1987,2,2,0,0,0,False
Jesse Johnson,['Love Struck'],1,8,1988,1988,1,1,0,0,0,False
Big Noise,['Name And Number'],1,3,1989,1989,1,1,0,0,0,False
Concrete Blonde,['Joey'],1,21,1990,1991,2,2,0,0,0,False
Caron Wheeler,"[""Livin' In The Light""]",1,10,1990,1990,1,1,0,0,0,False
Or-N-More (Featuring Father M.C.),['Everyotherday'],1,8,1991,1991,1,1,0,0,0,True
Ziggy Marley And The Melody Makers,['Good Time' 'Tomorrow People'],2,18,1988,1991,2,4,0,0,0,False
Ephraim Lewis,['Drowning In Your Eyes'],1,9,1992,1992,1,1,0,0,0,False
Portrait,['Here We Go Again!' 'How Deep Is Your Love'],2,28,1992,1995,3,4,0,0,0,False
Rosco Martinez,['Neon Moonlight'],1,10,1994,1994,1,1,0,0,0,False
Sadat X,"[""Hang 'Em High""]",1,2,1996,1996,1,1,0,0,0,False
Lit,['My Own Worst Enemy'],1,20,1999,1999,1,1,0,0,0,False
Jay-Z Featuring Memphis Bleek & Amil,['Hey Papi'],1,15,2000,2000,1,1,0,0,0,True
Sunday,['I Know'],1,2,2000,2001,2,2,0,0,0,False
Dante Thomas Featuring Pras,['Miss California'],1,6,2001,2001,1,1,0,0,0,True
Coo Coo Cal,['My Projects'],1,9,2001,2001,1,1,0,0,0,False
"Knoc-Turn'Al With Dr. Dre & Missy ""Misdemeanor"" Elliott",['Knoc'],1,3,2002,2002,1,1,0,0,0,False
Ms. Jade,['Feel The Girl'],1,4,2002,2002,1,1,0,0,0,False
"Ja Rule Featuring Charli ""Chuck"" Baltimore",['Down A** Chick'],1,19,2002,2002,1,1,0,0,0,True
Clipse,"[""Grindin'"" 'When The Last Time']",2,41,2002,2003,2,2,0,0,0,False
Soluna,['For All Time'],1,11,2002,2002,1,1,0,0,0,False
New Found Glory,['My Friends Over You'],1,6,2002,2002,1,1,0,0,0,False
Lil Jon & The East Side Boyz Featuring Ying Yang Twins,['Get Low'],1,45,2003,2004,2,2,0,8,16,True
Loon Featuring Kelis,['How You Want That'],1,6,2003,2003,1,1,0,0,0,True
The Roc Project Featuring Tina Arena,['Never (Past Tense)'],1,5,2003,2003,1,1,0,0,0,True
Scotty Emerick With Toby Keith,"[""I Can't Take You Anywhere""]",1,6,2003,2003,1,1,0,0,0,False
Eamon,"[""F**k It (I Don't Want You Back)""]",1,21,2003,2004,2,2,0,0,0,False
Cassidy Featuring Mashonda,['Get No Better'],1,12,2004,2004,1,1,0,0,0,True
Sugababes,['Hole In The Head'],1,2,2004,2004,1,1,0,0,0,False
Brooke Valentine Featuring Lil Jon & Big Boi,['Girlfight'],1,20,2005,2005,1,1,0,0,0,True
Shakira Featuring Alejandro Sanz,['La Tortura'],1,31,2005,2005,1,1,0,0,0,True
Teairra Mari,['Make Her Feel Good'],1,18,2005,2005,1,1,0,0,0,False
Ricky Martin Featuring Fat Joe & Amerie,"[""I Don't Care""]",1,5,2005,2005,1,1,0,0,0,True
The Strokes,['Juicebox'],1,1,2005,2005,1,1,0,0,0,False
Busta Rhymes Featuring will.i.am & Kelis,['I Love My B****'],1,12,2006,2006,1,1,0,0,0,True
Regina Spektor,['Fidelity'],1,13,2006,2007,2,2,0,0,0,False
Fergie Featuring Ludacris,['Glamorous'],1,29,2007,2007,1,1,2,7,13,True
Rihanna Featuring Ne-Yo,['Hate That I Love You'],1,26,2007,2008,2,2,0,0,8,True
David Guetta & Chris Willis,['Love Is Gone'],1,1,2008,2008,1,1,0,0,0,False
The Lost Trailers,['Holler Back'],1,13,2008,2008,1,1,0,0,0,False
K'Jon,['On The Ocean'],1,2,2009,2009,1,1,0,0,0,False
Timbaland Featuring Katy Perry,['If We Ever Meet Again'],1,18,2009,2010,2,2,0,0,0,True
Jennifer Hudson Featuring The Roots,['Let It Be'],1,1,2010,2010,1,1,0,0,0,True
Shakira Featuring Dizzee Rascal,['Loca'],1,11,2010,2011,2,2,0,0,0,True
Big Sean Featuring Wiz Khalifa,['High'],1,1,2011,2011,1,1,0,0,0,True
Tyga Featuring Chris Richardson,['Far Away'],1,7,2011,2011,1,1,0,0,0,True
Usher Featuring Rick Ross,['Lemme See'],1,20,2012,2012,1,1,0,0,0,True
2 Chainz,"[""I'm Different"" 'Watch Out']",2,31,2012,2016,3,5,0,0,0,False
Naughty Boy Featuring Sam Smith,['La La La'],1,20,2014,2014,1,1,0,0,0,True
Jennifer Lopez Featuring French Montana,['I Luh Ya Papi'],1,2,2014,2014,1,1,0,0,0,True
Jake Worthington,['Heaven'],1,1,2014,2014,1,1,0,0,0,False
"DJ Khaled Featuring Chris Brown, August Alsina, Future & Jeremih",['Hold You Down'],1,20,2014,2015,2,2,0,0,0,True
RaeLynn,['God Made Girls'],1,16,2014,2015,2,2,0,0,0,False
Who Is Fancy,['Goodbye'],1,1,2015,2015,1,1,0,0,0,False
J Balvin,['Ginza'],1,15,2015,2016,2,2,0,0,0,False
Madi Davis,['Girls Just Want To Have Fun'],1,1,2015,2015,1,1,0,0,0,False
G-Eazy Featuring Chris Brown & Tory Lanez,['Drifting'],1,1,2015,2015,1,1,0,0,0,True
James Bay,['Let It Go'],1,34,2016,2016,1,1,0,0,0,False
Major Lazer Featuring Nyla & Fuse ODG,['Light It Up'],1,20,2016,2016,1,1,0,0,0,True
Flume Featuring Kai,['Never Be Like You'],1,26,2016,2016,1,1,0,0,0,True
French Montana Featuring Kodak Black,['Lockjaw'],1,13,2016,2016,1,1,0,0,0,True
Eric Church Featuring Rhiannon Giddens,['Kill A Word'],1,15,2016,2017,2,2,0,0,0,True
Noah Cyrus Featuring Labrinth,['Make Me (Cry)'],1,15,2016,2017,2,2,0,0,0,True
Enrique Iglesias Featuring Bad Bunny,['El Bano'],1,1,2018,2018,1,1,0,0,0,True
Lil Yachty Featuring Playboi Carti,['Get Dripped'],1,1,2018,2018,1,1,0,0,0,True
Hikaru Utada & Skrillex,['Face My Fears'],1,1,2019,2019,1,1,0,0,0,False
Chris Lane,"[""I Don't Know About You"" 'Fix' 'For Her']",3,36,2016,2019,3,4,0,0,0,False
Wade Flemons and the Newcomers,['Here I Stand'],1,5,1958,1959,2,2,0,0,0,False
Johnnie Ray,"[""I'll Never Fall In Love Again"" 'Up Until Now']",2,9,1958,1959,2,2,0,0,0,False
The Revels,['Midnight Stroll'],1,10,1959,1959,1,1,0,0,0,False
Bobby Comstock And The Counts,"['Jambalaya' ""Your Boyfriend's Back""]",2,6,1960,1963,2,4,0,0,0,False
Garry Mills,['Look For A Star - Part I'],1,11,1960,1960,1,1,0,0,0,False
Otis Williams And His Charms,['Little Turtle Dove' 'Panic'],2,4,1961,1961,1,1,0,0,0,False
The Chanters,"['No, No, No']",1,9,1961,1961,1,1,0,0,0,False
Mary Ann Fisher,"[""I Can't Take It""]",1,3,1961,1961,1,1,0,0,0,False
The Parkays,['Late Date'],1,2,1961,1961,1,1,0,0,0,False
Tico And The Triumphs,['Motorcycle'],1,2,1961,1962,2,2,0,0,0,False
Rod McKuen,['Oliver Twist'],1,6,1962,1962,1,1,0,0,0,False
Benny Spellman,['Lipstick Traces (On A Cigarette)'],1,6,1962,1962,1,1,0,0,0,False
Baby Jane & The Rockabyes,['How Much Is That Doggie In The Window'],1,7,1963,1963,1,1,0,0,0,False
Arthur Lyman Group,['Love For Sale' 'Yellow Bird'],2,23,1961,1963,2,3,0,2,5,False
James Gilreath,['Little Band Of Gold'],1,12,1963,1963,1,1,0,0,0,False
Bobby Pickett,['Graduation Day'],1,2,1963,1963,1,1,0,0,0,False
Tammy Montgomery,['I Cried'],1,1,1963,1963,1,1,0,0,0,False
Murry Kellum,['Long Tall Texan'],1,11,1963,1964,2,2,0,0,0,False
Pete Drake And His Talking Steel Guitar,['Forever'],1,11,1964,1964,1,1,0,0,0,False
Wallace Brothers,"[""Lover's Prayer""]",1,2,1964,1964,1,1,0,0,0,False
The Dolphins,['Hey-Da-Da-Dow'],1,7,1964,1965,2,2,0,0,0,False
The Nashville Teens,['Find My Way Back Home' 'Tobacco Road'],2,13,1964,1965,2,2,0,0,0,False
George & Gene,"[""I've Got Five Dollars And It's Saturday Night""]",1,1,1965,1965,1,1,0,0,0,False
The Marvelows,['I Do'],1,9,1965,1965,1,1,0,0,0,False
The San Remo Golden Strings,"[""I'm Satisfied""]",1,4,1965,1965,1,1,0,0,0,False
The Hardtimes,['Fortune Teller'],1,2,1966,1967,2,2,0,0,0,False
Senator Bobby & Senator McKinley,['Mellow Yellow'],1,1,1967,1967,1,1,0,0,0,False
Jerryo,['Karate-Boo-Ga-Loo'],1,9,1967,1967,1,1,0,0,0,False
Hamilton Camp,"[""Here's To You""]",1,5,1968,1968,1,1,0,0,0,False
The Love Generation,['Montage From How Sweet It Is (I Know That You Know)' 'Groovy Summertime'],2,10,1967,1968,2,2,0,0,0,False
Ruby Winters,"[""I Don't Want To Cry"" 'Guess Who']",2,4,1969,1970,2,2,0,0,0,False
Blinky & Edwin Starr,['Oh How Happy'],1,2,1969,1969,1,1,0,0,0,False
Abaco Dream,['Life And Death In G & A'],1,6,1969,1969,1,1,0,0,0,False
The Whatnauts & The Whatnaut Band,['Message From A Black Man'],1,2,1970,1970,1,1,0,0,0,False
The Kimberlys,"[""I Don't Know How To Love Him/Everything's Alright""]",1,1,1971,1971,1,1,0,0,0,False
Susan Raye,['L.A. International Airport'],1,9,1971,1971,1,1,0,0,0,False
Cochise,"[""Love's Made A Fool Of You""]",1,4,1971,1971,1,1,0,0,0,False
Waldo De Los Rios,"['Mozart Symphony No. 40 In G Minor K.550, 1st Movement']",1,8,1971,1971,1,1,0,0,0,False
Apollo 100,"[""Mendelssohn's 4th (Second Movement)""]",1,3,1972,1972,1,1,0,0,0,False
Anacostia,['On And Off (Part 1)'],1,4,1973,1973,1,1,0,0,0,False
Tufano & Giammarese,['Music Everywhere'],1,8,1973,1973,1,1,0,0,0,False
Martin Mull and Orchestra,['Dueling Tubas'],1,3,1973,1973,1,1,0,0,0,False
George Fischoff,['Georgia Porcupine'],1,5,1974,1974,1,1,0,0,0,False
Stark & McBrien,"[""Isn't It Lonely Together""]",1,6,1975,1975,1,1,0,0,0,False
Dwight Twilley Band,"[""I'm On Fire""]",1,18,1975,1975,1,1,0,0,0,False
Steve Harley And Cockney Rebel,['Make Me Smile (Come Up And See Me)'],1,3,1976,1976,1,1,0,0,0,False
Terry Bradshaw,"[""I'm So Lonesome I Could Cry""]",1,5,1976,1976,1,1,0,0,0,False
Marmalade,['Falling Apart At The Seams'],1,9,1976,1976,1,1,0,0,0,False
Ozo,['Listen To The Buddha'],1,3,1976,1976,1,1,0,0,0,False
Automatic Man,['My Pearl'],1,2,1977,1977,1,1,0,0,0,False
Dynasty,"[""I've Just Begun To Love You""]",1,6,1980,1980,1,1,0,0,0,False
Jim Hurt,['I Love Women'],1,4,1980,1980,1,1,0,0,0,False
Colin James Hay,['Hold Me'],1,1,1987,1987,1,1,0,0,0,False
Tangier,['On The Line'],1,7,1989,1989,1,1,0,0,0,False
Eric B. & Rakim,['Juice (Know The Ledge)'],1,4,1992,1992,1,1,0,0,0,False
Good 2 Go,['Never Satisfied'],1,14,1992,1992,1,1,0,0,0,False
Mocca Soul,['Losing You'],1,2,1992,1992,1,1,0,0,0,False
Belly (rock),['Feed The Tree'],1,4,1993,1993,1,1,0,0,0,False
The Lemonheads,['Into Your Arms'],1,14,1993,1994,2,2,0,0,0,False
The Sounds Of Blackness,['I Believe'],1,3,1994,1994,1,1,0,0,0,False
Wet Wet Wet,['Love Is All Around' 'Wishing I Was Lucky'],2,28,1988,1994,2,7,0,0,0,False
Vicious,['Nika'],1,11,1995,1995,1,1,0,0,0,False
Super Cat,['Girlstown'],1,1,1995,1995,1,1,0,0,0,False
Trick Daddy Featuring Trina,['Nann'],1,20,1999,1999,1,1,0,0,0,True
Mulberry Lane,['Harmless'],1,3,1999,1999,1,1,0,0,0,False
Cam'ron,['Let Me Know' 'What Means The World To You'],2,12,1999,2000,2,2,0,0,0,False
Beth Hart,['L.A. Song'],1,12,1999,2000,2,2,0,0,0,False
Snoop Dogg Presents Tha Eastsidaz Featuring Jayo Felony And Blaqthoven,['Got Beef'],1,2,2000,2000,1,1,0,0,0,True
Zombie Nation,['Kernkraft 400'],1,2,2000,2000,1,1,0,0,0,False
Iconz Featuring Tony Manshino,['Get Crunked Up'],1,5,2001,2001,1,1,0,0,0,True
Sarina Paris,['Look At Us'],1,20,2001,2001,1,1,0,0,0,False
Leslie Carter,"['Like, Wow!']",1,1,2001,2001,1,1,0,0,0,False
St. Lunatics,['Midwest Swing'],1,5,2001,2001,1,1,0,0,0,False
Snoop Dogg Featuring Tyrese & Mr. Tan,['Just A Baby Boy'],1,4,2001,2001,1,1,0,0,0,True
Trick Daddy,"[""I'm A Thug""]",1,20,2001,2001,1,1,0,0,0,False
Mr. Cheeks,"['Lights, Camera, Action!']",1,30,2001,2002,2,2,0,0,0,False
"Ludacris, LL Cool J & Keith Murray",['Fatty Girl'],1,14,2001,2002,2,2,0,0,0,False
Daniel Rodriguez,['God Bless America'],1,2,2001,2002,2,2,0,0,0,False
Talib Kweli,['Get By'],1,10,2003,2003,1,1,0,0,0,False
Bone Crusher Featuring Killer Mike & T.I.,['Never Scared'],1,20,2003,2003,1,1,0,0,0,True
Kiley Dean,['Make Me A Song'],1,2,2003,2003,1,1,0,0,0,False
Obie Trice,['Got Some Teeth'],1,11,2003,2003,1,1,0,0,0,False
Dwele,['Find A Way'],1,12,2003,2003,1,1,0,0,0,False
Trillville,['Neva Eva'],1,18,2003,2004,2,2,0,0,0,False
Beenie Man Featuring Ms. Thing,['Dude'],1,26,2004,2004,1,1,0,0,0,True
Cherie,"[""I'm Ready""]",1,2,2004,2004,1,1,0,0,0,False
"The Alchemist Featuring Prodigy, Illa Ghee & Nina Sky",['Hold You Down'],1,4,2005,2005,1,1,0,0,0,True
Webbie Featuring Bun B,['Give Me That'],1,20,2005,2005,1,1,0,0,0,True
Young Jeezy,['My Hood' 'I Luv It'],2,25,2006,2007,2,2,0,0,0,False
Cham Featuring Alicia Keys,['Ghetto Story Chapter 2'],1,7,2006,2006,1,1,0,0,0,True
Mario Vazquez,['Gallery'],1,20,2006,2006,1,1,0,0,0,False
Webbie Featuring Lil' Phat & Lil' Boosie,['Independent'],1,25,2007,2008,2,2,0,0,4,True
Rick Ross Featuring Nelly & Avery Storm,['Here I Am'],1,14,2008,2008,1,1,0,0,0,True
Meryl Streep,['Mamma Mia'],1,1,2008,2008,1,1,0,0,0,False
Jamey Johnson,['In Color'],1,18,2008,2009,2,2,0,0,0,False
Omarion Featuring Gucci Mane,['I Get It In'],1,7,2009,2010,2,2,0,0,0,True
Steel Magnolia,"[""Keep On Lovin' You""]",1,15,2010,2010,1,1,0,0,0,False
Drake Featuring T.I. & Swizz Beatz,['Fancy'],1,20,2010,2010,1,1,0,0,0,True
Sean Paul Featuring Alexis Jordan,['Got 2 Luv U'],1,6,2011,2011,1,1,0,0,0,True
Justin Bieber Featuring Busta Rhymes,['Drummer Boy'],1,2,2011,2012,2,2,0,0,0,True
Dev & Enrique Iglesias,['Naked'],1,1,2012,2012,1,1,0,0,0,False
K'Naan Featuring Nelly Furtado,['Is Anybody Out There?'],1,2,2012,2012,1,1,0,0,0,True
Pitbull Featuring Shakira,['Get It Started'],1,2,2012,2012,1,1,0,0,0,True
"DJ Drama Featuring 2 Chainz, Meek Mill & Jeremih",['My Moment'],1,7,2012,2013,2,2,0,0,0,True
Cher Lloyd Featuring Becky G,['Oath'],1,2,2012,2013,2,2,0,0,0,True
Pitbull Featuring Christina Aguilera,['Feel This Moment'],1,24,2013,2013,1,1,0,0,7,True
Hadouken!,['Levitate'],1,15,2013,2013,1,1,0,0,0,False
Beyonce Featuring Drake,['Mine'],1,2,2014,2014,1,1,0,0,0,True
Hillsong UNITED,['Oceans (Where Feet May Fail)'],1,13,2014,2014,1,1,0,0,0,False
"Future Featuring Pharrell, Pusha T & Casino",['Move That Doh'],1,18,2014,2014,1,1,0,0,0,True
AJR,"[""I'm Ready"" 'Burn The House Down' 'Weak']",3,23,2014,2018,3,5,0,0,0,False
alt-J,['Left Hand Free'],1,1,2014,2014,1,1,0,0,0,False
Empire Cast Featuring Jussie Smollett,['Keep Your Money'],1,1,2015,2015,1,1,0,0,0,True
"Kendrick Lamar Featuring Bilal, Anna Wise & Snoop Dogg",['Institutionalized'],1,1,2015,2015,1,1,0,0,0,True
Kevin Gates Featuring August Alsina,"[""I Don't Get Tired (#IDGT)""]",1,9,2015,2015,1,1,0,0,0,True
Dove Cameron,['If Only'],1,2,2015,2015,1,1,0,0,0,False
A Great Big World Featuring FUTURISTIC,['Hold Each Other'],1,2,2015,2015,1,1,0,0,0,True
Ariana Grande Featuring Lil Wayne,['Let Me Love You'],1,1,2016,2016,1,1,0,0,0,True
Galantis,['No Money'],1,5,2016,2016,1,1,0,0,0,False
William Michael Morgan,['I Met A Girl'],1,9,2016,2016,1,1,0,0,0,False
Olivia O'Brien,['Hate U Love U'],1,1,2017,2017,1,1,0,0,0,False
Marian Hill,['Down'],1,17,2017,2017,1,1,0,0,0,False
Nicky Jam,['El Amante' 'With You Tonight / Hasta El Amanecer'],2,34,2016,2017,2,2,0,0,0,False
Future Featuring YG,['Extra Luv'],1,1,2017,2017,1,1,0,0,0,True
Camila Cabello Featuring Young Thug,['Havana'],1,45,2017,2018,2,2,1,17,22,True
Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt,['Let Me Go'],1,21,2017,2018,2,2,0,0,0,True
"21 Savage, Offset & Metro Boomin",['Mad Stalkers'],1,1,2017,2017,1,1,0,0,0,False
Janelle Monae,['Make Me Feel'],1,1,2018,2018,1,1,0,0,0,False
YG Featuring ASAP Rocky,['Handgun'],1,2,2018,2018,1,1,0,0,0,True
Frankie Vaughan,['Judy'],1,1,1958,1958,1,1,0,0,0,False
The Swallows,['Itchy Twitchy Feeling'],1,1,1958,1958,1,1,0,0,0,False
Kalin Twins,['Forget Me Not' 'When'],2,24,1958,1959,2,2,0,2,5,False
Andy Rose,['Just Young'],1,7,1958,1958,1,1,0,0,0,False
The Wild-Cats,['Gazachstahagen'],1,8,1959,1959,1,1,0,0,0,False
Les Compagnons De La Chanson,['Down By The Riverside'],1,8,1960,1960,1,1,0,0,0,False
Walter Brennan With Billy Vaughn and his Orchestra,"[""Dutchman's Gold""]",1,12,1960,1960,1,1,0,0,0,False
Larry Bright,['Mojo Workout (Dance)'],1,3,1960,1960,1,1,0,0,0,False
The Blue Notes,['My Hero'],1,4,1960,1960,1,1,0,0,0,False
Ray Conniff His Orchestra And Chorus,['Midnight Lace - Part I'],1,4,1960,1960,1,1,0,0,0,False
The Texans,['Green Grass Of Texas'],1,1,1961,1961,1,1,0,0,0,False
Jeanette (Baby) Washington,['Nobody Cares (about me)'],1,9,1961,1961,1,1,0,0,0,False
Wyatt (Earp) McPherson,"[""Here's My Confession""]",1,2,1961,1961,1,1,0,0,0,False
The Flares,['Foot Stomping - Part 1'],1,15,1961,1961,1,1,0,0,0,False
Bull Moose Jackson,['I Love You Yes I Do'],1,2,1961,1961,1,1,0,0,0,False
The Pentagons,['I Wonder (If Your Love Will Ever Belong To Me)' 'To Be Loved (Forever)'],2,15,1961,1961,1,1,0,0,0,False
Jimmy Elledge,['Funny How Time Slips Away'],1,15,1961,1962,2,2,0,0,0,False
Frank Slay And His Orchestra,['Flying Circle'],1,10,1961,1962,2,2,0,0,0,False
Jimmie Beaumont,"[""Ev'rybody's Cryin'""]",1,1,1961,1961,1,1,0,0,0,False
Don Shirley,['Drown In My Own Tears'],1,2,1961,1962,2,2,0,0,0,False
The Castle Sisters,['Goodbye Dad'],1,1,1962,1962,1,1,0,0,0,False
The Radiants,['Father Knows Best' 'Voice Your Choice'],2,10,1962,1965,3,4,0,0,0,False
Pete Antell,['Night Time'],1,1,1962,1962,1,1,0,0,0,False
Charlie Byrd,['Meditation (Meditacao)'],1,9,1963,1963,1,1,0,0,0,False
George McCurn,"[""I'm Just A Country Boy""]",1,8,1963,1963,1,1,0,0,0,False
Count Basie,"[""I Can't Stop Loving You""]",1,9,1963,1963,1,1,0,0,0,False
Doris Troy,['Just One Look'],1,14,1963,1963,1,1,0,0,2,False
The Glencoves,['Hootenanny'],1,9,1963,1963,1,1,0,0,0,False
Debbie Dovale,['Hey Lover'],1,4,1963,1963,1,1,0,0,0,False
The Diplomats,"[""Here's A Heart""]",1,3,1964,1964,1,1,0,0,0,False
The Womenfolk,['Little Boxes'],1,3,1964,1964,1,1,0,0,0,False
Bobby Wood,"[""If I'm A Fool For Loving You""]",1,5,1964,1964,1,1,0,0,0,False
Phyllis McGuire,"[""I Don't Want To Walk Without You""]",1,3,1964,1964,1,1,0,0,0,False
Jack Laforge His Piano and Orchestra,['Goldfinger'],1,5,1965,1965,1,1,0,0,0,False
Cannibal And The Headhunters,['Land Of 1000 Dances'],1,14,1965,1965,1,1,0,0,0,False
The Five Emprees,['Little Miss Sad'],1,6,1965,1965,1,1,0,0,0,False
The C.O.D.'s,['Michael'],1,12,1965,1966,2,2,0,0,0,False
Hedgehoppers Anonymous,"[""It's Good News Week""]",1,10,1965,1966,2,2,0,0,0,False
The Peels,['Juanita Banana'],1,6,1966,1966,1,1,0,0,0,False
Jamo Thomas & His Party Brothers Orchestra,['I Spy (For The FBI)'],1,2,1966,1966,1,1,0,0,0,False
The Monitors,['Greetings (This Is Uncle Sam)'],1,1,1966,1966,1,1,0,0,0,False
"""Groove"" Holmes",['Misty' 'What Now My Love'],2,14,1966,1966,1,1,0,0,0,False
The Fascinations,['Girls Are Out To Get You'],1,3,1967,1967,1,1,0,0,0,False
Larry Williams & Johnny Watson,"['Mercy, Mercy, Mercy']",1,4,1967,1967,1,1,0,0,0,False
The Easybeats,['Friday On My Mind' 'St. Louis'],2,15,1967,1969,2,3,0,0,0,False
The Blues Project,['No Time Like The Right Time'],1,2,1967,1967,1,1,0,0,0,False
